t,deltaT,deltaTdot
61.14999999999866,2.3314946883277944e-08,-1.3948171095475021e-09
61.19999999999866,2.3245310177854764e-08,-1.390653159189275e-09
61.24999999999866,2.3175881359340407e-08,-1.3865016271506138e-09
61.299999999998654,2.310665980774338e-08,-1.3823624764695856e-09
61.34999999999865,2.3037644904917548e-08,-1.37823567029383e-09
61.39999999999865,2.2968836034556657e-08,-1.3741211718802368e-09
61.449999999998646,2.2900232582188894e-08,-1.3700189445946242e-09
61.49999999999864,2.283183393517143e-08,-1.3659289519114185e-09
61.54999999999864,2.2763639482685006e-08,-1.3618511574133355e-09
61.59999999999864,2.2695648615728536e-08,-1.3577855247910614e-09
61.649999999998634,2.2627860727113696e-08,-1.3537320178429348e-09
61.69999999999863,2.2560275211459568e-08,-1.3496906004746314e-09
61.74999999999863,2.2492891465187272e-08,-1.3456612366988471e-09
61.799999999998626,2.2425708886514623e-08,-1.3416438906349838e-09
61.84999999999862,2.2358726875450804e-08,-1.3376385265088356e-09
61.89999999999862,2.2291944833791057e-08,-1.3336451086522752e-09
61.94999999999862,2.2225362165111383e-08,-1.3296636015029426e-09
61.999999999998614,2.2158978274763264e-08,-1.325693969603933e-09
62.04999999999861,2.20927925698684e-08,-1.3217361776034877e-09
62.09999999999861,2.2026804459313455e-08,-1.3177901902546838e-09
62.149999999998606,2.1961013353744826e-08,-1.3138559724151264e-09
62.1999999999986,2.189541866556342e-08,-1.3099334890466403e-09
62.2499999999986,2.1830019808919456e-08,-1.306022705214964e-09
62.2999999999986,2.1764816199707275e-08,-1.3021235860894432e-09
62.349999999998595,2.1699807255560164e-08,-1.2982360969427269e-09
62.39999999999859,2.1634992395845207e-08,-1.2943602031504623e-09
62.44999999999859,2.157037104165813e-08,-1.2904958701909921e-09
62.499999999998586,2.1505942615818187e-08,-1.2866430636450526e-09
62.54999999999858,2.144170654286304e-08,-1.2828017491954718e-09
62.59999999999858,2.137766224904366e-08,-1.2789718926268687e-09
62.64999999999858,2.1313809162319256e-08,-1.2751534598253542e-09
62.699999999998575,2.1250146712352193e-08,-1.2713464167782324e-09
62.74999999999857,2.118667433050295e-08,-1.2675507295737017e-09
62.79999999999857,2.1123391449825084e-08,-1.2637663644005589e-09
62.849999999998566,2.1060297505060197e-08,-1.2599932875479024e-09
62.89999999999856,2.0997391932632937e-08,-1.2562314654048368e-09
62.94999999999856,2.0934674170646008e-08,-1.252480864460179e-09
62.99999999999856,2.0872143658875178e-08,-1.2487414513021639e-09
63.049999999998555,2.080979983876433e-08,-1.245013192618152e-09
63.09999999999855,2.07476421534205e-08,-1.2412960551943371e-09
63.14999999999855,2.068567004760896e-08,-1.237590005915456e-09
63.199999999998546,2.0623882967748283e-08,-1.2338950117644976e-09
63.24999999999854,2.056228036190544e-08,-1.2302110398224135e-09
63.29999999999854,2.0500861679790912e-08,-1.22653805726783e-09
63.34999999999854,2.043962637275382e-08,-1.2228760313767593e-09
63.399999999998535,2.0378573893777042e-08,-1.2192249295223143e-09
63.44999999999853,2.031770369747239e-08,-1.2155847191744206e-09
63.49999999999853,2.0257015240075765e-08,-1.2119553678995331e-09
63.549999999998526,2.0196507979442332e-08,-1.2083368433603505e-09
63.59999999999852,2.0136181375041725e-08,-1.204729113315532e-09
63.64999999999852,2.0076034887953253e-08,-1.2011321456194145e-09
63.69999999999852,2.001606798086112e-08,-1.1975459082217309e-09
63.749999999998515,1.9956280118049662e-08,-1.1939703691673287e-09
63.79999999999851,1.9896670765398605e-08,-1.1904054965958902e-09
63.84999999999851,1.9837239390378326e-08,-1.1868512587416524e-09
63.899999999998506,1.977798546204513e-08,-1.183307623933129e-09
63.949999999998504,1.9718908451036544e-08,-1.1797745605928314e-09
63.9999999999985,1.966000782956663e-08,-1.1762520372369936e-09
64.0499999999985,1.9601283071421288e-08,-1.1727400224752934e-09
64.0999999999985,1.9542733651953632e-08,-1.1692384850105804e-09
64.1499999999985,1.9484359048079284e-08,-1.1657473936385977e-09
64.1999999999985,1.942615873827177e-08,-1.1622667172477102e-09
64.2499999999985,1.936813220255789e-08,-1.158796424818631e-09
64.29999999999849,1.9310278922513104e-08,-1.1553364854241495e-09
64.34999999999849,1.9252598381256932e-08,-1.1518868682288594e-09
64.39999999999849,1.9195090063448382e-08,-1.1484475424888885e-09
64.44999999999848,1.913775345528137e-08,-1.1450184775516286e-09
64.49999999999848,1.9080588044480167e-08,-1.1415996428554663e-09
64.54999999999848,1.9023593320294853e-08,-1.1381910079295147e-09
64.59999999999847,1.8966768773496795e-08,-1.1347925423933465e-09
64.64999999999847,1.891011389637412e-08,-1.1314042159567265e-09
64.69999999999847,1.885362818272722e-08,-1.1280259984193456e-09
64.74999999999847,1.879731112786426e-08,-1.1246578596705562e-09
64.79999999999846,1.8741162228596707e-08,-1.1212997696891071e-09
64.84999999999846,1.868518098323485e-08,-1.1179516985428806e-09
64.89999999999846,1.8629366891583365e-08,-1.1146136163886286e-09
64.94999999999845,1.8573719454936877e-08,-1.1112854934717117e-09
64.99999999999845,1.8518238176075535e-08,-1.1079673001258365e-09
65.04999999999845,1.8462922559260594e-08,-1.104659006772796e-09
65.09999999999845,1.8407772110230027e-08,-1.1013605839222091e-09
65.14999999999844,1.8352786336194133e-08,-1.0980720021712626e-09
65.19999999999844,1.829796474583117e-08,-1.0947932322044512e-09
65.24999999999844,1.8243306849282993e-08,-1.091524244793321e-09
65.29999999999843,1.8188812158150707e-08,-1.0882650107962127e-09
65.34999999999843,1.813448018549034e-08,-1.0850155011580051e-09
65.39999999999843,1.808031044580851e-08,-1.08177568690986e-09
65.44999999999843,1.802630245505814e-08,-1.0785455391689672e-09
65.49999999999842,1.7972455730634133e-08,-1.075325029138291e-09
65.54999999999842,1.791876979136911e-08,-1.0721141281063178e-09
65.59999999999842,1.786524415752914e-08,-1.0689128074468017e-09
65.64999999999841,1.7811878350809467e-08,-1.0657210386185151e-09
65.69999999999841,1.775867189433029e-08,-1.0625387931649964e-09
65.74999999999841,1.7705624312632505e-08,-1.0593660427143e-09
65.7999999999984,1.7652735131673503e-08,-1.0562027589787477e-09
65.8499999999984,1.7600003878822957e-08,-1.0530489137546786e-09
65.8999999999984,1.754743008285863e-08,-1.049904478922202e-09
65.9499999999984,1.7495013273962185e-08,-1.0467694264449504e-09
65.9999999999984,1.7442752983715027e-08,-1.043643728369832e-09
66.04999999999839,1.7390648745094134e-08,-1.0405273568267854e-09
66.09999999999839,1.7338700092467918e-08,-1.0374202840285345e-09
66.14999999999839,1.728690656159209e-08,-1.0343224822703443e-09
66.19999999999838,1.7235267689605542e-08,-1.0312339239297763e-09
66.24999999999838,1.7183783015026233e-08,-1.0281545814664464e-09
66.29999999999838,1.7132452077747096e-08,-1.0250844274217827e-09
66.34999999999837,1.7081274419031948e-08,-1.022023434418783e-09
66.39999999999837,1.703024958151143e-08,-1.018971575161775e-09
66.44999999999837,1.697937710917893e-08,-1.015928822436175e-09
66.49999999999837,1.6928656547386554e-08,-1.01289514910825e-09
66.54999999999836,1.6878087442841066e-08,-1.0098705281248773e-09
66.59999999999836,1.6827669343599885e-08,-1.0068549325133074e-09
66.64999999999836,1.6777401799067057e-08,-1.0038483353809263e-09
66.69999999999835,1.6727284359989267e-08,-1.0008507099150192e-09
66.74999999999835,1.6677316578451835e-08,-9.978620293825335e-10
66.79999999999835,1.6627498007874753e-08,-9.948822671298452e-10
66.84999999999835,1.657782820300871e-08,-9.919113965825223e-10
66.89999999999834,1.6528306719931146e-08,-9.889493912450925e-10
66.94999999999834,1.6478933116042303e-08,-9.859962247008091e-10
66.99999999999834,1.6429706950061295e-08,-9.830518706114187e-10
67.04999999999833,1.6380627782022196e-08,-9.80116302716929e-10
67.09999999999833,1.6331695173270124e-08,-9.771894948353784e-10
67.14999999999833,1.628290868645735e-08,-9.742714208626043e-10
67.19999999999833,1.6234267885539413e-08,-9.713620547720141e-10
67.24999999999832,1.618577233577125e-08,-9.684613706143558e-10
67.29999999999832,1.6137421603703327e-08,-9.655693425174894e-10
67.34999999999832,1.60892152571778e-08,-9.626859446861591e-10
67.39999999999831,1.6041152865324663e-08,-9.59811151401766e-10
67.44999999999831,1.5993233998557935e-08,-9.56944937022142e-10
67.49999999999831,1.5945458228571833e-08,-9.54087275981323e-10
67.5499999999983,1.5897825128336978e-08,-9.512381427893245e-10
67.5999999999983,1.5850334272096586e-08,-9.483975120319173e-10
67.6499999999983,1.5802985235362704e-08,-9.455653583704026e-10
67.6999999999983,1.5755777594912423e-08,-9.427416565413897e-10
67.7499999999983,1.5708710928784132e-08,-9.399263813565726e-10
67.79999999999829,1.566178481627376e-08,-9.37119507702509e-10
67.84999999999829,1.561499883793104e-08,-9.343210105403982e-10
67.89999999999829,1.5568352575555785e-08,-9.315308649058609e-10
67.94999999999828,1.5521845612194173e-08,-9.287490459087189e-10
67.99999999999828,1.5475477532135037e-08,-9.259755287327763e-10
68.04999999999828,1.5429247920906176e-08,-9.232102886356002e-10
68.09999999999827,1.5383156365270673e-08,-9.204533009483028e-10
68.14999999999827,1.5337202453223218e-08,-9.177045410753242e-10
68.19999999999827,1.5291385773986455e-08,-9.149639844942151e-10
68.24999999999827,1.5245705918007322e-08,-9.122316067554215e-10
68.29999999999826,1.5200162476953422e-08,-9.095073834820682e-10
68.34999999999826,1.5154755043709385e-08,-9.067912903697445e-10
68.39999999999826,1.5109483212373257e-08,-9.040833031862899e-10
68.44999999999825,1.506434657825289e-08,-9.0138339777158e-10
68.49999999999825,1.501934473786234e-08,-8.98691550037314e-10
68.54999999999825,1.4974477288918298e-08,-8.960077359668022e-10
68.59999999999825,1.4929743830336495e-08,-8.93331931614754e-10
68.64999999999824,1.4885143962228149e-08,-8.906641131070669e-10
68.69999999999824,1.484067728589641e-08,-8.880042566406159e-10
68.74999999999824,1.479634340383281e-08,-8.853523384830437e-10
68.79999999999824,1.4752141919713737e-08,-8.827083349725513e-10
68.84999999999823,1.4708072438396905e-08,-8.800722225176892e-10
68.89999999999823,1.4664134565917854e-08,-8.774439775971496e-10
68.94999999999823,1.4620327909486433e-08,-8.748235767595586e-10
68.99999999999822,1.4576652077483319e-08,-8.722109966232697e-10
69.04999999999822,1.4533106679456532e-08,-8.696062138761571e-10
69.09999999999822,1.4489691326117965e-08,-8.670092052754105e-10
69.14999999999822,1.4446405629339922e-08,-8.644199476473295e-10
69.19999999999821,1.4403249202151667e-08,-8.618384178871197e-10
69.24999999999821,1.436022165873599e-08,-8.592645929586886e-10
69.2999999999982,1.4317322614425769e-08,-8.566984498944423e-10
69.3499999999982,1.4274551685700553e-08,-8.541399657950829e-10
69.3999999999982,1.4231908490183156e-08,-8.515891178294061e-10
69.4499999999982,1.4189392646636253e-08,-8.490458832341004e-10
69.4999999999982,1.4147003774958987e-08,-8.465102393135459e-10
69.54999999999819,1.4104741496183599e-08,-8.439821634396137e-10
69.59999999999819,1.4062605432472052e-08,-8.414616330514663e-10
69.64999999999819,1.4020595207112673e-08,-8.389486256553588e-10
69.69999999999818,1.3978710444516804e-08,-8.364431188244402e-10
69.74999999999818,1.3936950770215456e-08,-8.339450901985551e-10
69.79999999999818,1.3895315810855994e-08,-8.31454517484047e-10
69.84999999999818,1.3853805194198797e-08,-8.289713784535606e-10
69.89999999999817,1.3812418549113967e-08,-8.264956509458465e-10
69.94999999999817,1.3771155505578016e-08,-8.240273128655649e-10
69.99999999999817,1.3730015694670579e-08,-8.215663421830906e-10
70.04999999999816,1.3688998748571135e-08,-8.191127169343188e-10
70.09999999999816,1.3648104300555732e-08,-8.16666415220471e-10
70.14999999999816,1.3607331984993732e-08,-8.142274152079015e-10
70.19999999999816,1.3566681437344549e-08,-8.117956951279045e-10
70.24999999999815,1.352615229415442e-08,-8.093712332765227e-10
70.29999999999815,1.3485744193053157e-08,-8.069540080143541e-10
70.34999999999815,1.344545677275094e-08,-8.045439977663627e-10
70.39999999999814,1.3405289673035095e-08,-8.021411810216862e-10
70.44999999999814,1.3365242534766883e-08,-7.997455363334474e-10
70.49999999999814,1.332531499987832e-08,-7.97357042318564e-10
70.54999999999814,1.3285506711368984e-08,-7.949756776575596e-10
70.59999999999813,1.324581731330284e-08,-7.926014210943762e-10
70.64999999999813,1.3206246450805076e-08,-7.902342514361857e-10
70.69999999999813,1.316679377005894e-08,-7.878741475532027e-10
70.74999999999812,1.3127458918302605e-08,-7.855210883784983e-10
70.79999999999812,1.3088241543826014e-08,-7.831750529078134e-10
70.84999999999812,1.3049141295967766e-08,-7.808360201993735e-10
70.89999999999812,1.301015782511199e-08,-7.785039693737038e-10
70.94999999999811,1.2971290782685233e-08,-7.76178879613444e-10
70.99999999999811,1.293253982115336e-08,-7.738607301631653e-10
71.04999999999811,1.2893904594018469e-08,-7.715495003291862e-10
71.0999999999981,1.2855384755815795e-08,-7.692451694793899e-10
71.1499999999981,1.281697996211065e-08,-7.669477170430421e-10
71.1999999999981,1.2778689869495346e-08,-7.646571225106091e-10
71.2499999999981,1.2740514135586149e-08,-7.623733654335765e-10
71.2999999999981,1.2702452419020228e-08,-7.600964254242684e-10
71.34999999999809,1.266450437945262e-08,-7.578262821556673e-10
71.39999999999809,1.26266696775532e-08,-7.555629153612346e-10
71.44999999999808,1.2588947975003658e-08,-7.533063048347309e-10
71.49999999999808,1.2551338934494498e-08,-7.510564304300379e-10
71.54999999999808,1.2513842219722027e-08,-7.4881327206098e-10
71.59999999999808,1.2476457495385365e-08,-7.46576809701147e-10
71.64999999999807,1.2439184427183465e-08,-7.443470233837168e-10
71.69999999999807,1.2402022681812134e-08,-7.42123893201279e-10
71.74999999999807,1.2364971926961068e-08,-7.399073993056588e-10
71.79999999999806,1.2328031831310894e-08,-7.376975219077415e-10
71.84999999999806,1.2291202064530223e-08,-7.354942412772974e-10
71.89999999999806,1.2254482297272708e-08,-7.332975377428079e-10
71.94999999999806,1.2217872201174113e-08,-7.311073916912906e-10
71.99999999999805,1.2181371448849394e-08,-7.289237835681268e-10
72.04999999999805,1.214497971388978e-08,-7.267466938768878e-10
72.09999999999805,1.2108696670859872e-08,-7.24576103179163e-10
72.14999999999804,1.2072521995294743e-08,-7.224119920943877e-10
72.19999999999804,1.2036455363697054e-08,-7.202543412996716e-10
72.24999999999804,1.2000496453534169e-08,-7.181031315296285e-10
72.29999999999804,1.1964644943235292e-08,-7.159583435762049e-10
72.34999999999803,1.1928900512188596e-08,-7.138199582885108e-10
72.39999999999803,1.1893262840738373e-08,-7.116879565726503e-10
72.44999999999803,1.185773161018219e-08,-7.095623193915522e-10
72.49999999999802,1.182230650276805e-08,-7.07443027764802e-10
72.54999999999802,1.1786987201691565e-08,-7.053300627684739e-10
72.59999999999802,1.1751773391093133e-08,-7.032234055349632e-10
72.64999999999802,1.1716664756055127e-08,-7.011230372528195e-10
72.69999999999801,1.1681660982599096e-08,-6.990289391665802e-10
72.74999999999801,1.164676175768296e-08,-6.969410925766047e-10
72.79999999999801,1.1611966769198235e-08,-6.948594788389087e-10
72.849999999998,1.1577275705967243e-08,-6.927840793649992e-10
72.899999999998,1.1542688257740351e-08,-6.907148756217104e-10
72.949999999998,1.1508204115193204e-08,-6.886518491310391e-10
72.999999999998,1.1473822969923968e-08,-6.865949814699817e-10
73.049999999998,1.1439544514450591e-08,-6.845442542703708e-10
73.09999999999799,1.140536844220806e-08,-6.824996492187128e-10
73.14999999999799,1.1371294447545677e-08,-6.804611480560257e-10
73.19999999999798,1.1337322225724329e-08,-6.784287325776775e-10
73.24999999999798,1.1303451472913781e-08,-6.764023846332253e-10
73.29999999999798,1.1269681886189969e-08,-6.743820861262542e-10
73.34999999999798,1.1236013163532301e-08,-6.723678190142173e-10
73.39999999999797,1.1202445003820973e-08,-6.703595653082761e-10
73.44999999999797,1.116897710683428e-08,-6.683573070731413e-10
73.49999999999797,1.1135609173245947e-08,-6.663610264269136e-10
73.54999999999797,1.1102340904622463e-08,-6.643707055409258e-10
73.59999999999796,1.106917200342042e-08,-6.623863266395846e-10
73.64999999999796,1.1036102172983869e-08,-6.604078720002136e-10
73.69999999999796,1.1003131117541677e-08,-6.584353239528962e-10
73.74999999999795,1.0970258542204887e-08,-6.564686648803188e-10
73.79999999999795,1.0937484152964098e-08,-6.545078772176155e-10
73.84999999999795,1.0904807656686843e-08,-6.525529434522119e-10
73.89999999999795,1.0872228761114984e-08,-6.506038461236703e-10
73.94999999999794,1.0839747174862097e-08,-6.486605678235353e-10
73.99999999999794,1.0807362607410893e-08,-6.467230911951788e-10
74.04999999999794,1.0775074769110615e-08,-6.447913989336476e-10
74.09999999999793,1.074288337117447e-08,-6.428654737855088e-10
74.14999999999793,1.0710788125677047e-08,-6.409452985486978e-10
74.19999999999793,1.0678788745551762e-08,-6.390308560723655e-10
74.24999999999793,1.0646884944588295e-08,-6.371221292567269e-10
74.29999999999792,1.0615076437430039e-08,-6.352191010529089e-10
74.34999999999792,1.0583362939571564e-08,-6.333217544628001e-10
74.39999999999792,1.0551744167356078e-08,-6.314300725388994e-10
74.44999999999791,1.0520219837972904e-08,-6.295440383841666e-10
74.49999999999791,1.0488789669454956e-08,-6.276636351518721e-10
74.54999999999791,1.0457453380676232e-08,-6.257888460454479e-10
74.5999999999979,1.0426210691349305e-08,-6.23919654318339e-10
74.6499999999979,1.0395061322022831e-08,-6.220560432738547e-10
74.6999999999979,1.0364004994079057e-08,-6.201979962650206e-10
74.7499999999979,1.0333041429731338e-08,-6.183454966944314e-10
74.7999999999979,1.0302170352021663e-08,-6.164985280141039e-10
74.84999999999789,1.0271391484818189e-08,-6.146570737253299e-10
74.89999999999789,1.0240704552812776e-08,-6.128211173785302e-10
74.94999999999789,1.0210109281518542e-08,-6.10990642573109e-10
74.99999999999788,1.0179605397267411e-08,-6.091656329573085e-10
75.04999999999788,1.0149192627207678e-08,-6.073460722280638e-10
75.09999999999788,1.0118870699301578e-08,-6.055319441308584e-10
75.14999999999787,1.0088639342322858e-08,-6.037232324595806e-10
75.19999999999787,1.0058498285854364e-08,-6.019199210563792e-10
75.24999999999787,1.0028447260285634e-08,-6.001219938115208e-10
75.29999999999787,9.99848599681049e-09,-5.983294346632467e-10
75.34999999999786,9.968614227424646e-09,-5.965422275976306e-10
75.39999999999786,9.938831684923323e-09,-5.947603566484368e-10
75.44999999999786,9.909138102898858e-09,-5.929838058969784e-10
75.49999999999785,9.879533215738342e-09,-5.912125594719764e-10
75.54999999999785,9.850016758621244e-09,-5.89446601549419e-10
75.59999999999785,9.820588467517058e-09,-5.876859163524211e-10
75.64999999999785,9.791248079182946e-09,-5.859304881510846e-10
75.69999999999784,9.761995331161391e-09,-5.841803012623589e-10
75.74999999999784,9.732829961777864e-09,-5.824353400499018e-10
75.79999999999784,9.703751710138484e-09,-5.806955889239409e-10
75.84999999999783,9.674760316127701e-09,-5.789610323411354e-10
75.89999999999783,9.645855520405973e-09,-5.772316548044385e-10
75.94999999999783,9.617037064407455e-09,-5.755074408629592e-10
75.99999999999783,9.588304690337697e-09,-5.737883751118261e-10
76.04999999999782,9.559658141171344e-09,-5.720744421920504e-10
76.09999999999782,9.531097160649846e-09,-5.703656267903901e-10
76.14999999999782,9.502621493279175e-09,-5.686619136392134e-10
76.19999999999781,9.474230884327546e-09,-5.669632875163642e-10
76.24999999999781,9.445925079823149e-09,-5.652697332450264e-10
76.29999999999781,9.417703826551882e-09,-5.635812356935898e-10
76.3499999999978,9.3895668720551e-09,-5.618977797755153e-10
76.3999999999978,9.361513964627358e-09,-5.602193504492018e-10
76.4499999999978,9.333544853314173e-09,-5.585459327178523e-10
76.4999999999978,9.30565928790978e-09,-5.56877511629341e-10
76.5499999999978,9.277857018954911e-09,-5.552140722760806e-10
76.59999999999779,9.250137797734563e-09,-5.535555997948902e-10
76.64999999999779,9.222501376275789e-09,-5.519020793668632e-10
76.69999999999779,9.194947507345478e-09,-5.502534962172363e-10
76.74999999999778,9.167475944448161e-09,-5.486098356152579e-10
76.79999999999778,9.140086441823806e-09,-5.469710828740576e-10
76.84999999999778,9.11277875444563e-09,-5.453372233505162e-10
76.89999999999777,9.085552638017917e-09,-5.437082424451351e-10
76.94999999999777,9.058407848973837e-09,-5.420841256019076e-10
76.99999999999777,9.031344144473277e-09,-5.404648583081891e-10
77.04999999999777,9.004361282400674e-09,-5.388504260945684e-10
77.09999999999776,8.977459021362856e-09,-5.372408145347398e-10
77.14999999999776,8.950637120686894e-09,-5.356360092453745e-10
77.19999999999776,8.923895340417951e-09,-5.340359958859935e-10
77.24999999999775,8.897233441317147e-09,-5.324407601588395e-10
77.29999999999775,8.870651184859425e-09,-5.308502878087511e-10
77.34999999999775,8.844148333231423e-09,-5.292645646230356e-10
77.39999999999775,8.817724649329352e-09,-5.276835764313428e-10
77.44999999999774,8.79137989675689e-09,-5.261073091055397e-10
77.49999999999774,8.765113839823066e-09,-5.245357485595848e-10
77.54999999999774,8.73892624354016e-09,-5.229688807494032e-10
77.59999999999773,8.71281687362161e-09,-5.214066916727617e-10
77.64999999999773,8.686785496479924e-09,-5.198491673691448e-10
