z,H_model,H_LCDM,DeltaH/H
0.2191059690176381,0.800326463380799,0.8000858355447894,0.0003007525259409159
0.22206686049084945,0.8022624694168612,0.8020170904773101,0.000305952257706987
0.22502775196406077,0.8041984754529233,0.8039483454098307,0.00031112700774959704
0.2279886434372721,0.8061344814889855,0.8058796003423514,0.0003162769556715426
0.23094953491048342,0.8080704875250476,0.8078108552748721,0.0003214022793580956
0.23391042638369475,0.8100064935611098,0.8097421102073927,0.00032650315499748486
0.23687131785690607,0.8119424995971719,0.8116733651399134,0.00033157975710108536
0.2398322093301174,0.813878505633234,0.813604620072434,0.0003366322585234566
0.24279310080332872,0.8158145116692962,0.8155358750049546,0.00034166083048141533
0.24575399227654005,0.8177505177053583,0.8174671299374753,0.0003466656425741961
0.24871488374975137,0.8197224680757322,0.8194339526577438,0.0003520911197939729
