z,DL_model,DL_LCDM,DeltaDL/DL
0.21022329459800412,0.349025572886205,0.34906965047227034,-0.00012627160798913423
0.21318418607121545,0.35439510395153,0.3544405882316341,-0.00012832695129815725
0.21614507754442677,0.3597756866639213,0.3598226045829076,-0.00013039180526386489
0.2191059690176381,0.36516729411731297,0.3652156725555973,-0.00013246539488786206
0.22206686049084945,0.3705698995363288,0.37061976531020385,-0.00013454699004873747
0.22502775196406077,0.3759834762753315,0.37603485613726934,-0.00013663590249479704
0.2279886434372721,0.38140799781748363,0.3814609184564357,-0.00013873148307357602
0.23094953491048342,0.38684343777381414,0.3868979258155098,-0.00014083311917688712
0.23391042638369475,0.3922897698822974,0.3923458518895395,-0.00014294023237920687
0.23687131785690607,0.39774696800693793,0.39780467047989737,-0.00014505227625867737
0.2398322093301174,0.4032150061368666,0.40327435551337415,-0.0001471687343768266
