t,A,cs2,m_eff2,no_ghost,grad_stable,tachyon_free
157.35000000000153,1.0000007279643544,1.0,0.07999988352580928,1,1,1
157.40000000000154,1.0000007257890062,1.0,0.07999988387386435,1,1,1
157.45000000000155,1.0000007236201587,1.0,0.07999988422087934,1,1,1
157.50000000000156,1.0000007214577924,1.0,0.07999988456685732,1,1,1
157.55000000000157,1.0000007193018876,1.0,0.07999988491180147,1,1,1
157.6000000000016,1.0000007171524252,1.0,0.07999988525571482,1,1,1
157.6500000000016,1.0000007150093861,1.0,0.07999988559860048,1,1,1
157.7000000000016,1.0000007128727508,1.0,0.07999988594046152,1,1,1
157.75000000000162,1.0000007107425004,1.0,0.07999988628130096,1,1,1
157.80000000000163,1.0000007086186158,1.0,0.07999988662112191,1,1,1
157.85000000000164,1.0000007065010779,1.0,0.07999988695992737,1,1,1
157.90000000000165,1.0000007043898678,1.0,0.07999988729772041,1,1,1
157.95000000000167,1.0000007022849664,1.0,0.07999988763450402,1,1,1
158.00000000000168,1.0000007001863551,1.0,0.07999988797028124,1,1,1
158.0500000000017,1.0000006980940148,1.0,0.0799998883050551,1,1,1
158.1000000000017,1.0000006960079273,1.0,0.07999988863882852,1,1,1
158.1500000000017,1.0000006939280732,1.0,0.07999988897160458,1,1,1
158.20000000000172,1.0000006918544346,1.0,0.07999988930338621,1,1,1
158.25000000000173,1.0000006897869924,1.0,0.07999988963417638,1,1,1
158.30000000000175,1.0000006877257281,1.0,0.0799998899639781,1,1,1
158.35000000000176,1.0000006856706236,1.0,0.07999989029279425,1,1,1
158.40000000000177,1.0000006836216604,1.0,0.07999989062062782,1,1,1
158.45000000000178,1.0000006815788198,1.0,0.07999989094748175,1,1,1
158.5000000000018,1.000000679542084,1.0,0.07999989127335895,1,1,1
158.5500000000018,1.000000677511434,1.0,0.07999989159826235,1,1,1
158.6000000000018,1.0000006754868527,1.0,0.07999989192219484,1,1,1
158.65000000000182,1.000000673468321,1.0,0.07999989224515935,1,1,1
158.70000000000184,1.0000006714558214,1.0,0.07999989256715875,1,1,1
158.75000000000185,1.0000006694493355,1.0,0.07999989288819595,1,1,1
158.80000000000186,1.0000006674488455,1.0,0.07999989320827382,1,1,1
158.85000000000187,1.0000006654543336,1.0,0.07999989352739519,1,1,1
158.90000000000188,1.0000006634657819,1.0,0.07999989384556296,1,1,1
158.9500000000019,1.0000006614831725,1.0,0.07999989416277992,1,1,1
159.0000000000019,1.0000006595064874,1.0,0.07999989447904901,1,1,1
159.05000000000192,1.0000006575357092,1.0,0.079999894794373,1,1,1
159.10000000000193,1.0000006555708205,1.0,0.07999989510875467,1,1,1
159.15000000000194,1.0000006536118031,1.0,0.07999989542219695,1,1,1
159.20000000000195,1.00000065165864,1.0,0.07999989573470255,1,1,1
159.25000000000196,1.0000006497113132,1.0,0.0799998960462743,1,1,1
159.30000000000197,1.0000006477698056,1.0,0.07999989635691501,1,1,1
159.35000000000198,1.0000006458340998,1.0,0.07999989666662746,1,1,1
159.400000000002,1.0000006439041784,1.0,0.07999989697541439,1,1,1
159.450000000002,1.000000641980024,1.0,0.07999989728327857,1,1,1
159.50000000000202,1.0000006400616197,1.0,0.07999989759022279,1,1,1
159.55000000000203,1.000000638148948,1.0,0.07999989789624978,1,1,1
