t,a,H,T,Tdot,rho_m,rho_T
39.799999999999876,127347410.39476213,0.46547875931281646,0.01653542609137352,-0.0009888348521209804,3.389437935879491e-25,0.6500114261141967
39.84999999999987,130346045.70845431,0.4654787349207088,0.01648605812486663,-0.0009858852740195507,3.1608541607944775e-25,0.6500113579901505
39.89999999999987,133415289.3922519,0.46547871067396196,0.016436837417602563,-0.0009829444780598139,2.9476860916957593e-25,0.6500112902720819
39.94999999999987,136556804.0469449,0.4654786865717101,0.016387763531125824,-0.0009800124381912072,2.748894091494526e-25,0.650011222957573
39.999999999999865,139772291.42219326,0.4654786626130929,0.016338836028281515,-0.0009770891284398456,2.5635086364111266e-25,0.6500111560442207
40.04999999999986,143063493.33835533,0.4654786387972548,0.016290054473211534,-0.0009741745229082998,2.390625587516914e-25,0.6500110895296357
40.09999999999986,146432192.6300222,0.4654786151233457,0.016241418431350737,-0.0009712685957753754,2.229401781164735e-25,0.6500110234114433
40.14999999999986,149880214.1117693,0.46547859159052024,0.016192927469423135,-0.0009683713212958911,2.0790509168020883e-25,0.650010957687283
40.199999999999854,153409425.56664822,0.46547856819793826,0.01614458115543811,-0.0009654826738004596,1.9388397221113684e-25,0.650010892354808
40.24999999999985,157021738.7579544,0.4654785449447646,0.016096379058686612,-0.0009626026276952673,1.8080843767741358e-25,0.6500108274116857
40.29999999999985,160719110.4648184,0.465478521830169,0.016048320749737412,-0.000959731157461856,1.6861471774177441e-25,0.6500107628555973
40.349999999999845,164503543.5421822,0.46547849885332615,0.016000405800433316,-0.0009568682376569041,1.5724334274788763e-25,0.6500106986842378
40.39999999999984,168377088.00573438,0.4654784760134157,0.015952633783887418,-0.000954013842912009,1.4663885368155331e-25,0.650010634895316
40.44999999999984,172341842.1423919,0.4654784533096221,0.01590500427447937,-0.0009511679479334703,1.36749531692196e-25,0.6500105714865542
40.49999999999984,176399953.64693016,0.46547843074113476,0.015857516847851645,-0.0009483305275020728,1.2752714585549863e-25,0.6500105084556882
40.549999999999834,180553620.78537697,0.4654784083071478,0.01581017108090582,-0.000945501556472871,1.1892671794698943e-25,0.6500104458004674
40.59999999999983,184805093.58580062,0.4654783860068602,0.015762966551798867,-0.0009426810097749739,1.10906303079357e-25,0.6500103835186547
40.64999999999983,189156675.05713716,0.4654783638394757,0.015715902839939448,-0.00093986886241133,1.0342678513363916e-25,0.6500103216080261
40.699999999999825,193610722.43671694,0.4654783418042029,0.01566897952598425,-0.0009370650894585134,9.645168598658238e-26,0.650010260066371
40.74999999999982,198169648.46716648,0.46547831990025473,0.01562219619183428,-0.00093426966606651,8.994698760375289e-26,0.6500101988914916
40.79999999999982,202835922.70337704,0.46547829812684915,0.015575552420631227,-0.0009314825674585056,8.388096613073018e-26,0.6500101380812037
40.84999999999982,207612072.8502481,0.46547827648320883,0.01552904779675379,-0.0009287037689306723,7.822403717322825e-26,0.6500100776333357
40.899999999999814,212500686.13193038,0.46547825496856066,0.015482681905814038,-0.0009259332458519577,7.294861151155993e-26,0.6500100175457291
40.94999999999981,217504410.6933099,0.4654782335821365,0.015436454334653781,-0.0009231709736638734,6.802896054574961e-26,0.6500099578162382
40.99999999999981,222625957.0344924,0.46547821232317277,0.01539036467134094,-0.000920416927880285,6.344109081505631e-26,0.65000989844273
41.049999999999805,227868099.4790654,0.4654781911909101,0.01534441250516594,-0.0009176710840872015,5.916262697992632e-26,0.6500098394230844
